plot_type,n_variants,n_samples,n_values,dpi,average_mem,average_peak_mem,memory_0,memory_1,memory_2,memory_3,memory_4,memory_5,memory_6,memory_7,memory_8,memory_9,peak_memory_0,peak_memory_1,peak_memory_2,peak_memory_3,peak_memory_4,peak_memory_5,peak_memory_6,peak_memory_7,peak_memory_8,peak_memory_9
imshow,500,1000,500000,150,10436306.2,15429528.0,10467082,10473348,10301640,10470574,10465925,10467566,10473636,10309386,10468116,10465789,15460224,15466075,15295182,15463976,15459352,15460610,15466459,15302699,15461361,15459342
pcolorfast,500,1000,500000,200,10429870.9,15424484.0,10477586,10304362,10468600,10476183,10477262,10319749,10338042,10482574,10476834,10477517,15472036,15299333,15463652,15470719,15471808,15314883,15332355,15476792,15471379,15471883
pcolormesh,500,1000,500000,200,50515261.5,140687561.7,50398369,50561730,50557358,50571651,50409282,50561902,50559204,50559492,50567739,50405888,140570735,140733993,140729798,140743477,140581675,140734298,140731798,140731867,140739661,140578315
matshow,500,1000,500000,200,10437199.7,15430522.7,10466352,10469841,10466056,10477113,10307171,10467311,10465880,10472226,10475491,10304556,15460590,15463071,15460363,15469883,15300161,15460427,15459797,15465369,15467977,15297589
imshow,500,1000,500000,200,10437269.2,15430633.6,10466578,10471493,10466403,10473987,10304110,10471808,10466739,10467061,10475396,10309117,15459905,15465661,15459637,15466667,15296821,15465351,15461005,15460389,15468332,15302568
pcolorfast,500,10000,5000000,50,10439665.1,15434614.4,10469410,10470893,10317103,10466006,10469338,10479224,10478051,10310635,10468684,10467307,15464344,15465921,15312017,15461010,15464865,15473539,15472488,15305521,15463609,15462830
pcolormesh,500,10000,5000000,50,50533866.3,140706034.0,50560682,50566341,50401966,50560697,50557925,50560435,50566437,50420785,50572566,50570829,140733051,140738267,140574506,140733205,140730369,140732833,140738256,140592653,140744436,140742764
matshow,500,10000,5000000,50,10438673.9,15432010.2,10478523,10312345,10464315,10465895,10473074,10478248,10307018,10469538,10466001,10471782,15471373,15305390,15458113,15459748,15465858,15471094,15300185,15462916,15460053,15465372
imshow,500,10000,5000000,50,10437017.3,15430293.2,10474153,10303670,10467157,10467306,10472000,10474376,10304423,10467200,10467017,10472871,15466697,15296859,15460525,15460894,15465456,15467258,15297532,15460356,15461174,15466181
pcolorfast,500,10000,5000000,100,10439549.2,15434342.8,10462569,10470458,10474820,10477029,10321066,10469631,10467665,10467410,10475747,10309097,15457424,15465462,15469079,15471486,15316081,15464394,15463223,15462353,15470112,15303814
pcolormesh,500,10000,5000000,100,50529170.6,140701544.9,50557638,50561186,50563649,50564904,50397281,50561175,50558029,50564482,50566197,50397165,140730668,140733750,140736158,140736882,140569696,140733642,140730257,140736801,140738110,140569485
matshow,500,10000,5000000,100,10439346.6,15432663.9,10467238,10467077,10472123,10475713,10305864,10467543,10469991,10468518,10474907,10324492,15460384,15461365,15465719,15468740,15299085,15460816,15464313,15462081,15467745,15316391
imshow,500,10000,5000000,100,10440620.0,15433505.5,10481394,10478827,10476526,10312382,10466612,10466366,10473806,10476516,10304305,10469466,15474117,15471657,15469469,15305517,15459493,15459834,15465880,15469355,15297183,15462550
